Wavenumber (cm-1),Int deg0 (arb),Int deg2 (arb),Int deg4 (arb),Int deg6 (arb),Int deg8 (arb),Int deg10 (arb),Int deg12 (arb),Int deg14 (arb),Int deg16 (arb),Int deg18 (arb),Int deg20 (arb)
557.8091,0.15381,0.00224817,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0211235,-1.17549e-38,-1.17549e-38,0.0696026,0.0574946,0.0539576
558.2912,0.187493,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0159786,0.0119779,-1.17549e-38,0.0160272,0.0998712,0.0557769
558.7733,0.215717,-1.17549e-38,-1.17549e-38,0.00445901,-1.17549e-38,0.0064337,0.0444942,-1.17549e-38,-1.17549e-38,0.117127,0.0492197
559.2554,0.227586,-1.17549e-38,-1.17549e-38,0.0147186,-1.17549e-38,-1.17549e-38,0.0624663,-1.17549e-38,-1.17549e-38,0.106038,0.0393818
559.7375,0.219192,-1.17549e-38,-1.17549e-38,0.0235222,-1.17549e-38,-1.17549e-38,0.0645522,-1.17549e-38,-1.17549e-38,0.0751698,0.0309935
560.2197,0.194211,-1.17549e-38,-1.17549e-38,0.024952,-1.17549e-38,-1.17549e-38,0.056229,-1.17549e-38,-1.17549e-38,0.0396347,0.0263159
560.7018,0.159961,-1.17549e-38,-1.17549e-38,0.0160502,-1.17549e-38,-1.17549e-38,0.0459902,-1.17549e-38,-1.17549e-38,0.0122469,0.0247746
561.1839,0.122517,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0334647,0.00781848,0.0415145,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0243443
561.666,0.0843647,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0555852,0.0141821,0.0472442,-1.17549e-38,0.0344253,-1.17549e-38,0.0234324
562.1481,0.0455399,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0614757,0.0148921,0.0632432,-1.17549e-38,0.0587253,-1.17549e-38,0.0217768
562.6302,0.00661502,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0529032,0.00895081,0.0847802,-1.17549e-38,0.0621094,-1.17549e-38,0.019822
563.1124,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0190229,0.0368648,-1.17549e-38,0.102907,-1.17549e-38,0.0515866,-1.17549e-38,0.0173929
