"Wavelength, µm","n","k"
1.34037,1.31274,0.0000277189
1.34046,1.31274,0.0000277308
1.34055,1.31274,0.0000277398
1.34063,1.31274,0.0000277474
1.34072,1.31274,0.0000277555
1.34081,1.31274,0.0000277647
1.34089,1.31274,0.0000277741
1.34098,1.31274,0.0000277829
1.34107,1.31274,0.0000277908
1.34115,1.31274,0.0000277983
1.34124,1.31273,0.0000278066
1.34133,1.31273,0.0000278169
1.34141,1.31273,0.0000278299
1.3415,1.31273,0.0000278457
1.34159,1.31273,0.0000278636
1.34167,1.31273,0.0000278829
1.34176,1.31273,0.0000279031
1.34185,1.31273,0.0000279238
1.34193,1.31273,0.0000279437
1.34202,1.31273,0.0000279617
1.34211,1.31273,0.0000279766
1.34219,1.31273,0.0000279892
1.34228,1.31273,0.0000280006
1.34237,1.31273,0.0000280124
1.34246,1.31273,0.0000280251
1.34254,1.31273,0.000028039
1.34263,1.31273,0.0000280548
1.34272,1.31273,0.0000280726
1.3428,1.31273,0.0000280921
1.34289,1.31273,0.0000281114
1.34298,1.31273,0.0000281294
1.34306,1.31272,0.0000281459
1.34315,1.31272,0.0000281625
1.34324,1.31272,0.0000281807
1.34332,1.31272,0.0000282015
1.34341,1.31272,0.0000282244
1.3435,1.31272,0.0000282486
1.34359,1.31272,0.0000282729
1.34367,1.31272,0.000028296
1.34376,1.31272,0.0000283171
1.34385,1.31272,0.0000283362
1.34393,1.31272,0.0000283546
1.34402,1.31272,0.0000283739
1.34411,1.31272,0.0000283951
1.3442,1.31272,0.0000284172
1.34428,1.31272,0.0000284388
1.34437,1.31272,0.0000284592
1.34446,1.31272,0.0000284799
1.34454,1.31272,0.0000285037
1.34463,1.31272,0.0000285326
1.34472,1.31272,0.0000285655
1.34481,1.31271,0.0000285995
1.34489,1.31271,0.0000286312
1.34498,1.31271,0.0000286598
1.34507,1.31271,0.000028687
1.34515,1.31271,0.0000287151
1.34524,1.31271,0.0000287448
1.34533,1.31271,0.000028776
1.34542,1.31271,0.0000288083
1.3455,1.31271,0.0000288414
1.34559,1.31271,0.0000288747
1.34568,1.31271,0.0000289069
1.34577,1.31271,0.0000289378
1.34585,1.31271,0.0000289693
1.34594,1.31271,0.0000290039
1.34603,1.31271,0.000029043
1.34611,1.31271,0.0000290853
1.3462,1.31271,0.0000291281
1.34629,1.31271,0.0000291694
1.34638,1.31271,0.0000292083
1.34646,1.31271,0.0000292446
1.34655,1.31271,0.0000292784
1.34664,1.3127,0.0000293108
1.34673,1.3127,0.0000293438
1.34681,1.3127,0.0000293793
1.3469,1.3127,0.0000294169
1.34699,1.3127,0.0000294538
1.34708,1.3127,0.0000294871
1.34716,1.3127,0.0000295166
1.34725,1.3127,0.0000295445
1.34734,1.3127,0.0000295739
1.34743,1.3127,0.0000296064
1.34751,1.3127,0.0000296415
1.3476,1.3127,0.0000296778
1.34769,1.3127,0.0000297136
1.34778,1.3127,0.0000297479
1.34786,1.3127,0.0000297804
1.34795,1.3127,0.0000298122
1.34804,1.3127,0.0000298453
1.34813,1.3127,0.000029882
1.34821,1.3127,0.0000299236
1.3483,1.3127,0.0000299685
1.34839,1.3127,0.0000300136
1.34848,1.31269,0.0000300561
1.34857,1.31269,0.0000300953
1.34865,1.31269,0.0000301328
1.34874,1.31269,0.0000301708
1.34883,1.31269,0.0000302105
1.34892,1.31269,0.0000302514
1.349,1.31269,0.0000302926
1.34909,1.31269,0.0000303338
1.34918,1.31269,0.0000303751
1.34927,1.31269,0.0000304168
1.34936,1.31269,0.0000304585
1.34944,1.31269,0.0000305006
1.34953,1.31269,0.0000305436
1.34962,1.31269,0.0000305872
1.34971,1.31269,0.0000306304
1.34979,1.31269,0.0000306726
1.34988,1.31269,0.0000307146
1.34997,1.31269,0.0000307582
1.35006,1.31269,0.0000308044
1.35015,1.31269,0.0000308515
1.35023,1.31269,0.0000308971
1.35032,1.31268,0.0000309401
1.35041,1.31268,0.0000309822
1.3505,1.31268,0.0000310256
1.35059,1.31268,0.0000310703
1.35067,1.31268,0.0000311148
1.35076,1.31268,0.0000311565
1.35085,1.31268,0.0000311947
1.35094,1.31268,0.00003123
1.35103,1.31268,0.0000312639
1.35111,1.31268,0.0000312982
1.3512,1.31268,0.0000313345
1.35129,1.31268,0.0000313731
1.35138,1.31268,0.0000314129
1.35147,1.31268,0.0000314519
1.35155,1.31268,0.0000314887
