Wavelength (nm)	Reflectance
1293	0.9604372
1294	0.960352
1295	0.9602668
1296	0.9601815
1297	0.9600961
1298	0.9600107
1299	0.9599251
1300	0.9598395
1301	0.9597538
1302	0.959668
1303	0.9595821
1304	0.9594962
1305	0.9594101
1306	0.9593275
1307	0.9592451
1308	0.9591628
1309	0.9590803
1310	0.9589978
1311	0.9589153
1312	0.9588326
1313	0.95875
1314	0.9586672
1315	0.9585844
1316	0.9585016
1317	0.9584186
1318	0.9583357
1319	0.9582526
1320	0.9581695
1321	0.9580863
1322	0.9580031
1323	0.9579198
1324	0.9578365
1325	0.9577531
1326	0.9576696
1327	0.9575861
1328	0.9575025
1329	0.9574189
1330	0.9573352
1331	0.9572514
1332	0.9571676
1333	0.9570837
1334	0.9569998
1335	0.9569158
1336	0.9568317
1337	0.9567476
1338	0.9566634
1339	0.9565792
1340	0.9564949
1341	0.9564105
1342	0.9563261
1343	0.9562416
1344	0.9561571
1345	0.9560725
1346	0.9559878
1347	0.9559031
1348	0.9558184
1349	0.9557335
1350	0.9556487
1351	0.9555637
1352	0.9554787
1353	0.9553936
1354	0.9553085
1355	0.9552233
1356	0.9551381
1357	0.9550528
1358	0.9549675
1359	0.9548821
1360	0.9547966
1361	0.9547111
1362	0.9546255
1363	0.9545398
1364	0.9544541
1365	0.9543684
1366	0.9542826
1367	0.9541967
1368	0.9541108
1369	0.9540248
1370	0.9539387
1371	0.9538526
1372	0.9537665
1373	0.9536803
1374	0.953594
1375	0.9535076
1376	0.9534213
1377	0.9533348
1378	0.9532834
1379	0.9532868
1380	0.9532902
1381	0.9532937
1382	0.9532972
1383	0.9533007
1384	0.9533043
1385	0.9533078
1386	0.9533114
1387	0.953315
1388	0.9533187
1389	0.9533224
1390	0.953326
1391	0.9533298
1392	0.9533335
1393	0.9533373
1394	0.9533411
1395	0.9533449
1396	0.9533487
1397	0.9533526
1398	0.9533565
1399	0.9533604
1400	0.9533643
1401	0.9533682
1402	0.9533722
1403	0.9533762
1404	0.9533802
1405	0.9533843
1406	0.9533884
1407	0.9533925
1408	0.9533966
1409	0.9534007
1410	0.9534049
1411	0.9534091
1412	0.9534133
1413	0.9534175
1414	0.9534217
1415	0.953426
1416	0.9534303
1417	0.9534346
1418	0.953439
1419	0.9534433
1420	0.9534477
1421	0.9534521
1422	0.9534565
1423	0.953461
1424	0.9534654
1425	0.9534699
1426	0.9534744
1427	0.953479
1428	0.9534835
1429	0.9534881
1430	0.9534927
1431	0.9534973
1432	0.953502
1433	0.9535066
1434	0.9535113
1435	0.953516
1436	0.9535207
1437	0.9535254
1438	0.9535302
1439	0.953535
1440	0.9535398
1441	0.9535446
1442	0.9535494
1443	0.9535543
1444	0.9535592
1445	0.9535641
1446	0.953569
1447	0.9535739
1448	0.9535789
1449	0.9535839
1450	0.9535889
1451	0.9535939
1452	0.9535989
1453	0.953604
1454	0.953609
1455	0.9536141
1456	0.9536192
1457	0.9536244
1458	0.9536295
1459	0.9536419
1460	0.9536678
1461	0.9536936
1462	0.9537194
1463	0.9537452
1464	0.9537709
1465	0.9537966
1466	0.9538223
1467	0.953848
1468	0.9538736
1469	0.9538992
1470	0.9539248
1471	0.9539503
1472	0.9539759
1473	0.9540014
1474	0.9540268
1475	0.9540523
1476	0.9540777
1477	0.9541031
1478	0.9541285
1479	0.9541538
1480	0.9541791
1481	0.9542044
1482	0.9542297
1483	0.9542549
1484	0.9542801
1485	0.9543053
1486	0.9543304
1487	0.9543556
1488	0.9543807
1489	0.9544057
1490	0.9544308
1491	0.9544558
1492	0.9544808
1493	0.9545058
1494	0.9545307
1495	0.9545557
1496	0.9545806
1497	0.9546054
1498	0.9546303
1499	0.9546551
1500	0.9546799
1501	0.9547046
1502	0.9547294
1503	0.9547541
1504	0.9547788
1505	0.9548034
1506	0.9548281
1507	0.9548527
1508	0.9548773
1509	0.9549018
1510	0.9549264
1511	0.9549509
1512	0.9549754
1513	0.9549998
1514	0.9550243
1515	0.9550487
1516	0.9550731
1517	0.9550974
1518	0.9551218
1519	0.9551461
1520	0.9551704
1521	0.9551946
1522	0.9552188
1523	0.9552431
1524	0.9552672
1525	0.9552914
1526	0.9553155
1527	0.9553396
1528	0.9553637
1529	0.9553878
1530	0.9554118
1531	0.9554358
1532	0.9554598
1533	0.9554838
1534	0.9555077
1535	0.9555316
1536	0.9555555
1537	0.9555794
1538	0.9556032
1539	0.9556271
1540	0.9556508
1541	0.9556746
1542	0.9556984
1543	0.9557221
1544	0.9557458
1545	0.9557694
1546	0.9557931
1547	0.9558167
1548	0.9558403
1549	0.9558639
1550	0.9558864
1551	0.9559046
1552	0.9559228
1553	0.955941
1554	0.9559591
1555	0.9559773
1556	0.9559954
1557	0.9560135
1558	0.9560316
1559	0.9560497
1560	0.9560678
1561	0.9560859
1562	0.956104
1563	0.9561221
1564	0.9561401
1565	0.9561582
1566	0.9561762
1567	0.9561942
1568	0.9562122
1569	0.9562302
1570	0.9562482
1571	0.9562662
1572	0.9562841
1573	0.9563021
1574	0.95632
1575	0.956338
1576	0.9563559
1577	0.9563738
1578	0.9563917
1579	0.9564096
1580	0.9564275
1581	0.9564453
1582	0.9564632
1583	0.9564811
1584	0.9564989
1585	0.9565167
1586	0.9565345
1587	0.9565523
1588	0.9565701
1589	0.9565879
1590	0.9566057
1591	0.9566234
1592	0.9566412
1593	0.9566589
1594	0.9566767
1595	0.9566944
1596	0.9567121
1597	0.9567298
1598	0.9567475
1599	0.9567652
1600	0.9567828
1601	0.9568005
1602	0.9568181
1603	0.9568358
1604	0.9568534
1605	0.956871
1606	0.9568886
1607	0.9569062
1608	0.9569238
1609	0.9569413
1610	0.9569589
1611	0.9569764
1612	0.956994
1613	0.9570115
1614	0.957029
1615	0.9570465
1616	0.957064
1617	0.9570815
1618	0.957099
1619	0.9571164
1620	0.9571339
1621	0.9571513
1622	0.9571687
1623	0.9571862
1624	0.9572036
1625	0.957221
1626	0.9572383
1627	0.9572557
1628	0.9572731
1629	0.9572904
1630	0.9573078
1631	0.9573251
1632	0.9573424
1633	0.9573598
1634	0.957377
1635	0.9573943
1636	0.9574116
1637	0.9574289
1638	0.9574461
1639	0.9574634
1640	0.9574806
1641	0.9574978
1642	0.9575151
1643	0.9575323
1644	0.9575495
1645	0.9575666
1646	0.9575838
1647	0.957601
1648	0.9576181
1649	0.9576353
1650	0.9576524
1651	0.9576695
1652	0.9576866
1653	0.9577037
1654	0.9577203
1655	0.9577368
1656	0.9577533
1657	0.9577698
1658	0.9577863
1659	0.9578028
1660	0.9578192
1661	0.9578357
1662	0.9578521
1663	0.9578686
1664	0.957885
1665	0.9579014
1666	0.9579178
1667	0.9579342
1668	0.9579506
1669	0.957967
1670	0.9579834
1671	0.9579997
1672	0.9580161
1673	0.9580324
1674	0.9580487
1675	0.9580651
1676	0.9580814
1677	0.9580977
1678	0.958114
1679	0.9581303
1680	0.9581465
1681	0.9581628
1682	0.9581791
1683	0.9581953
1684	0.9582116
1685	0.9582278
1686	0.958244
1687	0.9582602
1688	0.9582764
1689	0.9582926
1690	0.9583088
1691	0.958325
1692	0.9583411
1693	0.9583573
1694	0.9583734
1695	0.9583896
1696	0.9584057
1697	0.9584218
1698	0.9584379
1699	0.958454
1700	0.9584701
1701	0.9584862
1702	0.9585023
1703	0.9585183
1704	0.9585344
1705	0.9585504
1706	0.9585664
1707	0.9585825
1708	0.9585985
1709	0.9586145
1710	0.9586305
1711	0.9586465
1712	0.9586624
1713	0.9586784
1714	0.9586944
1715	0.9587103
1716	0.9587263
1717	0.9587422
1718	0.9587581
1719	0.958774
1720	0.9587899
1721	0.9588058
1722	0.9588217
1723	0.9588376
1724	0.9588534
1725	0.9588693
1726	0.9588851
1727	0.958901
1728	0.9589168
1729	0.9589326
1730	0.9589484
1731	0.9589642
1732	0.95898
1733	0.9589958
1734	0.9590116
1735	0.9590273
1736	0.9590431
1737	0.9590588
1738	0.9590745
1739	0.9590903
1740	0.959106
1741	0.9591217
1742	0.9591374
1743	0.9591531
1744	0.9591687
1745	0.9591844
1746	0.9592001
1747	0.9592157
1748	0.9592314
1749	0.959247
1750	0.9592626
1751	0.9592782
1752	0.9592938
1753	0.9593094
1754	0.959325
1755	0.9593406
1756	0.9593561
1757	0.9593717
1758	0.9593872
1759	0.9594028
1760	0.9594183
1761	0.9594338
1762	0.9594493
1763	0.9594648
1764	0.9594803
1765	0.9594958
1766	0.9595113
1767	0.9595267
1768	0.9595422
1769	0.9595576
1770	0.9595731
1771	0.9595885
1772	0.9596013
1773	0.9596134
1774	0.9596255
1775	0.9596376
1776	0.9596497
1777	0.9596618
1778	0.9596739
1779	0.959686
1780	0.9596981
1781	0.9597102
1782	0.9597223
1783	0.9597344
1784	0.9597464
1785	0.9597585
1786	0.9597706
1787	0.9597827
1788	0.9597947
1789	0.9598068
1790	0.9598188
1791	0.9598309
1792	0.959843
1793	0.959855
1794	0.9598671
1795	0.9598791
1796	0.9598911
1797	0.9599032
1798	0.9599152
1799	0.9599273
1800	0.9599393
1801	0.9599513
1802	0.9599633
1803	0.9599754
1804	0.9599874
1805	0.9599994
1806	0.9600114
1807	0.9600234
1808	0.9600354
1809	0.9600474
1810	0.9600594
1811	0.9600714
1812	0.9600834
1813	0.9600954
1814	0.9601074
1815	0.9601194
1816	0.9601314
1817	0.9601434
1818	0.9601553
1819	0.9601673
1820	0.9601793
1821	0.9601913
1822	0.9602032
1823	0.9602152
1824	0.9602271
1825	0.9602391
1826	0.9602511
1827	0.960263
1828	0.9602749
1829	0.9602869
1830	0.9602988
1831	0.9603108
1832	0.9603227
1833	0.9603346
1834	0.9603466
1835	0.9603585
1836	0.9603704
1837	0.9603823
1838	0.9603942
1839	0.9604061
1840	0.960418
1841	0.9604299
1842	0.9604418
1843	0.9604537
1844	0.9604656
1845	0.9604775
1846	0.9604894
1847	0.9605013
1848	0.9605132
1849	0.960525
1850	0.9605369
1851	0.9605488
