Wavenumber (cm-1),Int deg2 (arb),Int deg4 (arb),Int deg6 (arb),Int deg8 (arb),Int deg10 (arb),Int deg12 (arb),Int deg14 (arb),Int deg16 (arb),Int deg18 (arb),Int deg20 (arb),Int deg22 (arb),Int deg24 (arb),Int deg26 (arb),Int deg28 (arb)
538.0423,-1.17549e-38,0.100482,0.105872,0.124456,0.0669006,0.0688239,0.0235682,0.0495674,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.00369092,-1.17549e-38,-1.17549e-38
538.5244,-1.17549e-38,0.090599,0.141389,0.0975848,0.0286927,0.0637744,-1.17549e-38,0.0198926,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.00943504,-1.17549e-38,6.90764e-05
539.0065,-1.17549e-38,0.063487,0.143894,0.0542767,-1.17549e-38,0.0486152,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0170957,-1.17549e-38,0.00719133
539.4886,-1.17549e-38,0.0260739,0.117956,0.0111826,-1.17549e-38,0.0229846,0.00968846,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0221951,-1.17549e-38,0.0151266
539.9708,-1.17549e-38,-1.17549e-38,0.0834395,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0312945,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0180012,0.0190072,-1.17549e-38,0.0212288
540.4529,-1.17549e-38,-1.17549e-38,0.0624175,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0512342,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0619826,0.00387849,-1.17549e-38,0.0230705
540.935,-1.17549e-38,-1.17549e-38,0.0651684,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0619358,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0953141,-1.17549e-38,-1.17549e-38,0.0197148
541.4171,-1.17549e-38,-1.17549e-38,0.084427,0.0306052,-1.17549e-38,-1.17549e-38,0.0594233,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.106145,-1.17549e-38,0.0235929,0.0122128
541.8992,0.00757712,0.00064288,0.101451,0.0617419,-1.17549e-38,-1.17549e-38,0.044619,0.0194639,-1.17549e-38,-1.17549e-38,0.0932519,-1.17549e-38,0.0546947,0.00298291
542.3813,0.0431149,0.0192099,0.0992841,0.0831211,0.00940784,-1.17549e-38,0.0232816,0.0400757,0.0103029,-1.17549e-38,0.0637203,-1.17549e-38,0.0824064,-1.17549e-38
542.8635,0.06378,0.0322269,0.073799,0.0906116,0.019223,-1.17549e-38,0.00330434,0.0514163,0.0345578,-1.17549e-38,0.0268994,-1.17549e-38,0.10313,-1.17549e-38
543.3456,0.0661999,0.0387207,0.0352325,0.0854954,0.0282564,-1.17549e-38,-1.17549e-38,0.0575903,0.0439602,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.115596,-1.17549e-38
543.8277,0.0558471,0.0380669,0.000242838,0.0718368,0.0384998,-1.17549e-38,-1.17549e-38,0.0662188,0.0416001,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.121271,-1.17549e-38
544.3098,0.0429283,0.0285531,-1.17549e-38,0.053389,0.0494952,-1.17549e-38,-1.17549e-38,0.0824252,0.033122,0.00135541,-1.17549e-38,-1.17549e-38,0.123428,-1.17549e-38
544.7919,0.0354913,0.00931381,-1.17549e-38,0.0319995,0.0574079,-1.17549e-38,-1.17549e-38,0.103405,0.0226574,0.0217481,-1.17549e-38,0.0142322,0.1254,-1.17549e-38
