Wavenumber (cm-1),Int deg-26 (arb),Int deg-24 (arb),Int deg-22 (arb),Int deg-20 (arb),Int deg-18 (arb),Int deg-16 (arb),Int deg-14 (arb),Int deg-12 (arb),Int deg-10 (arb),Int deg-8 (arb),Int deg-6 (arb),Int deg-4 (arb),Int deg-2 (arb)
541.4171,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.00814609,0.0211243,0.033632,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0739577
541.8992,-1.17549e-38,-1.17549e-38,0.00344009,-1.17549e-38,-1.17549e-38,0.00275004,0.0146181,0.0139385,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.091053
542.3813,-1.17549e-38,-1.17549e-38,0.0165177,-1.17549e-38,-1.17549e-38,0.00353366,0.0142243,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.10213
542.8635,-1.17549e-38,-1.17549e-38,0.0247492,-1.17549e-38,-1.17549e-38,0.0105309,0.0171607,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.104614
543.3456,-1.17549e-38,-1.17549e-38,0.0284648,-1.17549e-38,0.00197195,0.0224198,0.0198398,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0956853
543.8277,0.0101356,-1.17549e-38,0.0310236,-1.17549e-38,0.0277406,0.0363323,0.0191939,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.00876665,-1.17549e-38,0.0729591
544.3098,0.0752557,0.00832718,0.0367658,0.042907,0.0496754,0.0475377,0.013805,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0206345,-1.17549e-38,0.0361634
544.7919,0.117053,0.0308808,0.0475487,0.0817579,0.0614829,0.0503719,0.00448782,-1.17549e-38,0.0555733,-1.17549e-38,0.0248628,-1.17549e-38,-1.17549e-38
545.274,0.133595,0.0586727,0.0601432,0.101743,0.0601166,0.0410001,-1.17549e-38,-1.17549e-38,0.108428,0.0282556,0.0207906,-1.17549e-38,-1.17549e-38
545.7562,0.131081,0.0876136,0.0669565,0.0965311,0.0465977,0.0206098,-1.17549e-38,-1.17549e-38,0.140545,0.0463404,0.0107572,-1.17549e-38,-1.17549e-38
546.2383,0.118271,0.110639,0.0605932,0.0729292,0.0246771,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.141886,0.0517098,-1.17549e-38,-1.17549e-38,-1.17549e-38
