Wavenumber (cm-1),Int deg0 (arb),Int deg2 (arb),Int deg4 (arb),Int deg6 (arb),Int deg8 (arb),Int deg10 (arb),Int deg12 (arb),Int deg14 (arb),Int deg16 (arb),Int deg18 (arb),Int deg20 (arb),Int deg22 (arb)
533.2211,0.0107986,0.0946679,0.017947,-1.17549e-38,0.0153079,0.0539397,-1.17549e-38,-1.17549e-38,0.0192674,-1.17549e-38,0.0310762,0.0604282
533.7032,0.00787826,0.03442,0.0195812,-1.17549e-38,-1.17549e-38,0.00850554,-1.17549e-38,-1.17549e-38,0.0454407,-1.17549e-38,0.00757661,0.0604159
534.1854,0.00263787,-1.17549e-38,0.0180874,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0590301,-1.17549e-38,-1.17549e-38,0.0448947
534.6675,-1.17549e-38,-1.17549e-38,0.0128707,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0159267,0.0549341,-1.17549e-38,-1.17549e-38,0.0152192
535.1496,-1.17549e-38,-1.17549e-38,0.00349187,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0432057,0.0347911,-1.17549e-38,-1.17549e-38,-1.17549e-38
535.6317,0.00187485,-1.17549e-38,-1.17549e-38,0.0305728,-1.17549e-38,0.00282096,0.0201396,0.0636083,0.00625075,-1.17549e-38,-1.17549e-38,-1.17549e-38
536.1138,0.0107068,-1.17549e-38,-1.17549e-38,0.0556477,-1.17549e-38,0.0158961,0.0495177,0.0829201,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38
536.5959,0.0209859,-1.17549e-38,-1.17549e-38,0.0616084,-1.17549e-38,-1.17549e-38,0.0660849,0.102698,-1.17549e-38,0.0117067,-1.17549e-38,-1.17549e-38
537.0781,0.0288043,-1.17549e-38,-1.17549e-38,0.05155,-1.17549e-38,-1.17549e-38,0.0662286,0.117878,-1.17549e-38,0.00778346,0.0212178,-1.17549e-38
537.5602,0.0309211,-1.17549e-38,-1.17549e-38,0.03854,-1.17549e-38,-1.17549e-38,0.053112,0.11995,-1.17549e-38,-1.17549e-38,0.0443334,0.00909849
538.0423,0.0260936,-1.17549e-38,-1.17549e-38,0.0390337,-1.17549e-38,-1.17549e-38,0.0338752,0.10328,0.00629233,-1.17549e-38,0.0628258,0.054101
538.5244,0.0155344,-1.17549e-38,-1.17549e-38,0.0630371,-1.17549e-38,-1.17549e-38,0.0151987,0.0699111,0.0355649,-1.17549e-38,0.0715998,0.0822356
