Wavenumber (cm-1),Int deg-8 (arb),Int deg-6 (arb),Int deg-4 (arb),Int deg-2 (arb),Int deg0 (arb),Int deg2 (arb),Int deg4 (arb),Int deg6 (arb),Int deg8 (arb),Int deg10 (arb),Int deg12 (arb),Int deg14 (arb),Int deg16 (arb),Int deg18 (arb),Int deg20 (arb),Int deg22 (arb),Int deg24 (arb),Int deg26 (arb),Int deg28 (arb)
524.543,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0563088,-1.17549e-38,0.0231071,0.048042,0.0330394,0.0864593,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38
525.0251,-1.17549e-38,0.00156512,-1.17549e-38,-1.17549e-38,0.0551306,-1.17549e-38,0.0400172,0.014332,0.0528671,0.102656,-1.17549e-38,0.00494874,-1.17549e-38,0.0250274,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38
525.5073,-1.17549e-38,0.00923939,0.0293088,0.0247474,0.0567099,-1.17549e-38,0.0478361,-1.17549e-38,0.0655655,0.111693,0.00845351,0.0668878,-1.17549e-38,0.0540155,-1.17549e-38,-1.17549e-38,0.00335627,-1.17549e-38,-1.17549e-38
525.9894,-1.17549e-38,0.0163237,0.0535552,0.0485127,0.0602192,-1.17549e-38,0.0530198,-1.17549e-38,0.0676805,0.110108,0.0284985,0.128409,-1.17549e-38,0.0730815,-1.17549e-38,-1.17549e-38,0.00916776,-1.17549e-38,-1.17549e-38
526.4715,-1.17549e-38,0.0279012,0.0554027,0.0572132,0.0649339,-1.17549e-38,0.063346,-1.17549e-38,0.0586173,0.0941828,0.0351315,0.1648,-1.17549e-38,0.0890818,0.0190916,-1.17549e-38,0.0164839,0.00674285,-1.17549e-38
526.9536,-1.17549e-38,0.04283,0.0354687,0.052555,0.0729659,-1.17549e-38,0.0795372,-1.17549e-38,0.0408101,0.0618734,0.0297311,0.159299,-1.17549e-38,0.107224,0.0306175,-1.17549e-38,0.0242398,0.0416381,-1.17549e-38
527.4357,-1.17549e-38,0.0527988,0.0030396,0.0425948,0.0886479,-1.17549e-38,0.0934874,-1.17549e-38,0.0184939,0.015395,0.017378,0.112703,0.0244623,0.125353,0.0282752,-1.17549e-38,0.0306581,0.057436,-1.17549e-38
527.9178,-1.17549e-38,0.0470582,-1.17549e-38,0.0360924,0.114395,-1.17549e-38,0.0943013,0.0233256,-1.17549e-38,-1.17549e-38,0.00291026,0.0429146,0.0447785,0.1347,0.0187229,-1.17549e-38,0.0332611,0.0532691,-1.17549e-38
528.4,-1.17549e-38,0.0191248,-1.17549e-38,0.0369109,0.146241,-1.17549e-38,0.0765914,0.0497003,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0503174,0.126248,0.00845585,-1.17549e-38,0.0294002,0.0389555,-1.17549e-38
528.8821,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0419642,0.172861,0.0049249,0.0450027,0.0696159,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0482165,0.0979678,0.00109873,-1.17549e-38,0.0175313,0.0268505,-1.17549e-38
529.3642,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.043862,0.180082,0.00660897,0.0123446,0.0791657,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0472123,0.0579987,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0234014,-1.17549e-38
529.8463,0.0215114,-1.17549e-38,-1.17549e-38,0.0367431,0.159287,-1.17549e-38,-1.17549e-38,0.0753627,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0548952,0.0212277,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0254433,-1.17549e-38
530.3284,0.0367736,-1.17549e-38,0.00909762,0.0213274,0.114374,-1.17549e-38,-1.17549e-38,0.0580132,-1.17549e-38,0.0323565,-1.17549e-38,0.0447791,0.0741117,0.00111519,0.00490008,0.0199065,-1.17549e-38,0.0235516,-1.17549e-38
530.8105,0.0387005,-1.17549e-38,0.0353877,0.00510873,0.061556,-1.17549e-38,0.0114671,0.0307119,0.0101447,0.0997689,0.0299385,0.109022,0.100079,0.00243831,0.017715,0.0491624,-1.17549e-38,0.00996226,0.0144934
