Wavenumber (cm-1),Int deg-20 (arb),Int deg-18 (arb),Int deg-16 (arb),Int deg-14 (arb),Int deg-12 (arb),Int deg-10 (arb),Int deg-8 (arb),Int deg-6 (arb),Int deg-4 (arb),Int deg-2 (arb),Int deg0 (arb)
559.7375,-1.17549e-38,-1.17549e-38,0.0491756,0.0980281,0.0442664,0.00393211,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.00271231,0.0408688
560.2197,0.00599649,-1.17549e-38,0.058349,0.0546657,0.0202483,0.0232868,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0429356
560.7018,0.0273648,-1.17549e-38,0.0704658,0.011641,-1.17549e-38,0.032934,0.00120751,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0454196
561.1839,0.0306131,-1.17549e-38,0.0849435,-1.17549e-38,-1.17549e-38,0.0331198,0.0273666,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0418509
561.666,0.0187833,-1.17549e-38,0.0995946,-1.17549e-38,-1.17549e-38,0.0248651,0.0568062,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0266755
562.1481,0.000674881,-1.17549e-38,0.111781,-1.17549e-38,-1.17549e-38,0.00931937,0.0782506,0.00290958,-1.17549e-38,-1.17549e-38,0.000413178
562.6302,-1.17549e-38,-1.17549e-38,0.11918,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0807261,0.025523,0.0331784,-1.17549e-38,-1.17549e-38
563.1124,-1.17549e-38,-1.17549e-38,0.119938,-1.17549e-38,0.0288363,-1.17549e-38,0.0588102,0.0503048,0.0599585,-1.17549e-38,-1.17549e-38
563.5945,-1.17549e-38,0.00477724,0.112669,-1.17549e-38,0.060283,-1.17549e-38,0.0166769,0.0676837,0.0674254,-1.17549e-38,-1.17549e-38
564.0766,-1.17549e-38,0.000566066,0.096736,-1.17549e-38,0.0749418,-1.17549e-38,-1.17549e-38,0.070728,0.0525761,-1.17549e-38,-1.17549e-38
564.5587,-1.17549e-38,-1.17549e-38,0.0727159,0.00153258,0.0634224,-1.17549e-38,-1.17549e-38,0.0601921,0.020142,-1.17549e-38,0.0382412
565.0408,-1.17549e-38,-1.17549e-38,0.0426454,0.0439398,0.0282776,-1.17549e-38,-1.17549e-38,0.0442232,-1.17549e-38,-1.17549e-38,0.102592
565.5229,-1.17549e-38,-1.17549e-38,0.00986698,0.0643199,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0330866,-1.17549e-38,-1.17549e-38,0.160229
566.0051,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0582303,-1.17549e-38,0.000410133,-1.17549e-38,0.0328043,-1.17549e-38,-1.17549e-38,0.194992
566.4872,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0339462,-1.17549e-38,0.0196541,-1.17549e-38,0.0419537,-1.17549e-38,-1.17549e-38,0.197533
566.9693,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.00728769,-1.17549e-38,0.031966,0.000377847,0.0534008,0.00812724,-1.17549e-38,0.168114
567.4514,-1.17549e-38,0.0112797,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0359788,0.0115477,0.0593674,0.0588261,-1.17549e-38,0.115242
567.9335,-1.17549e-38,0.0151853,-1.17549e-38,-1.17549e-38,0.013303,0.0319623,0.0124884,0.0561132,0.0967599,-1.17549e-38,0.0510496
568.4156,-1.17549e-38,0.00416357,-1.17549e-38,0.013741,0.0376857,0.0217888,0.00781305,0.0452178,0.107687,-1.17549e-38,-1.17549e-38
568.8978,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0341893,0.0430631,0.00910557,0.00170804,0.0313072,0.0903215,0.00990531,-1.17549e-38
569.3799,0.0094532,-1.17549e-38,0.0130893,0.0451017,0.0292002,-1.17549e-38,-1.17549e-38,0.0185401,0.0566258,0.0258575,-1.17549e-38
569.862,0.0260795,-1.17549e-38,0.0142135,0.037666,0.00338624,-1.17549e-38,-1.17549e-38,0.00846758,0.0246593,0.0340463,-1.17549e-38
570.3441,0.0308205,-1.17549e-38,0.00274779,0.0102458,-1.17549e-38,0.00404211,-1.17549e-38,0.00033418,0.00833627,0.0315645,-1.17549e-38
570.8262,0.0234762,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0204294,0.00485095,-1.17549e-38,0.0105589,0.0215597,-1.17549e-38
571.3083,0.00918751,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0402784,0.0152847,-1.17549e-38,0.0236325,0.0105451,-1.17549e-38
571.7905,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0566262,0.0241085,-1.17549e-38,0.0356162,0.00373583,0.0261318
572.2726,-1.17549e-38,0.00662878,-1.17549e-38,-1.17549e-38,0.0239288,0.0639864,0.0264237,-1.17549e-38,0.0377191,0.00172498,0.0764712
572.7547,-1.17549e-38,0.0128676,-1.17549e-38,-1.17549e-38,0.051337,0.0607082,0.0202026,-1.17549e-38,0.0281636,0.000672082,0.102909
573.2368,-1.17549e-38,0.014512,0.0112787,-1.17549e-38,0.0614746,0.0492338,0.00800983,0.00349442,0.0111126,-1.17549e-38,0.10368
573.7189,-1.17549e-38,0.0167658,0.0173776,-1.17549e-38,0.0488533,0.0342223,-1.17549e-38,0.0164923,-1.17549e-38,-1.17549e-38,0.0877857
574.201,-1.17549e-38,0.0233129,0.0183419,-1.17549e-38,0.0164525,0.0199256,-1.17549e-38,0.0257908,-1.17549e-38,-1.17549e-38,0.0691023
574.6832,-1.17549e-38,0.034579,0.019015,-1.17549e-38,-1.17549e-38,0.00851745,-1.17549e-38,0.0278616,-1.17549e-38,-1.17549e-38,0.0585398
575.1653,-1.17549e-38,0.0481127,0.0233773,-1.17549e-38,-1.17549e-38,0.000160202,-1.17549e-38,0.0222077,-1.17549e-38,-1.17549e-38,0.058665
575.6474,-1.17549e-38,0.0602464,0.0311217,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.00469236,0.0122649,-1.17549e-38,-1.17549e-38,0.0632797
