Wavenumber (cm-1),Int deg4 (arb),Int deg6 (arb),Int deg8 (arb),Int deg10 (arb),Int deg12 (arb),Int deg14 (arb),Int deg16 (arb),Int deg18 (arb)
593.0036,-1.17549e-38,0.0181883,0.0270129,-1.17549e-38,0.0153608,-1.17549e-38,-1.17549e-38,0.042713
593.4857,0.00228139,0.0211737,0.0582439,0.0126501,0.0177415,-1.17549e-38,-1.17549e-38,0.0360335
593.9678,0.0133189,0.0245369,0.0851716,0.0370786,0.0161881,-1.17549e-38,-1.17549e-38,0.0246364
594.45,0.0150388,0.0272952,0.0982379,0.0577071,0.0127444,-1.17549e-38,0.0159176,0.0141572
594.9321,0.00819378,0.027995,0.0948322,0.0702461,0.0105536,-1.17549e-38,0.0308479,0.00968495
595.4142,-1.17549e-38,0.025465,0.0801236,0.0728033,0.0113037,-1.17549e-38,0.033547,0.0133032
595.8963,-1.17549e-38,0.0198062,0.0634033,0.0658119,0.0137812,-1.17549e-38,0.0258607,0.0230097
596.3784,-1.17549e-38,0.0127615,0.0521724,0.0513626,0.0146163,-1.17549e-38,0.0141846,0.0335664
596.8605,-1.17549e-38,0.0070242,0.0480219,0.0323792,0.0106426,-1.17549e-38,0.00582047,0.038963
597.3427,0.0029358,0.00488075,0.0469577,0.0119038,0.00109876,-1.17549e-38,0.00507068,0.0352312
597.8248,0.0195875,0.0070475,0.0433252,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0111543,0.022112
598.3069,0.034209,0.0123208,0.0340058,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0190814,0.0028169
598.789,0.0421362,0.0180855,0.0199447,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0230225,-1.17549e-38
599.2711,0.0415283,0.0213494,0.00454139,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0202524,-1.17549e-38
599.7532,0.0340267,0.0199318,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0132241,-1.17549e-38
600.2354,0.0236043,0.0134653,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.00820718,-1.17549e-38
600.7175,0.0142051,0.00378637,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0228008,0.0110592,-1.17549e-38
601.1996,0.007715,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0473823,0.0228544,0.00214561
601.6817,0.003588,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0605753,0.0384002,0.0364589
