Wavenumber (cm-1),Int deg0 (arb),Int deg2 (arb),Int deg4 (arb),Int deg6 (arb),Int deg8 (arb),Int deg10 (arb),Int deg12 (arb),Int deg14 (arb),Int deg16 (arb),Int deg18 (arb),Int deg20 (arb),Int deg22 (arb),Int deg24 (arb)
1455.9926,-1.17549e-38,0.0014406,0.00273759,0.003699,0.00918681,0.00434833,0.00382585,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.00238995,0.0117833,0.00506915
1456.4746,0.00123812,-1.17549e-38,0.00478343,0.00110722,0.0144265,-1.17549e-38,0.0059807,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.00763272,0.00897282,0.0011881
1456.9568,0.00339726,0.000441548,0.00774684,-1.17549e-38,0.0188476,-1.17549e-38,0.00710343,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0135124,0.00677409,-1.17549e-38
1457.4388,0.00505622,0.00320786,0.00981476,-1.17549e-38,0.0195993,-1.17549e-38,0.00678926,0.000331291,0.000574568,-1.17549e-38,0.0178334,0.00553533,-1.17549e-38
1457.921,0.00591923,0.00645319,0.00930003,-1.17549e-38,0.0161732,-1.17549e-38,0.00543995,0.000974707,0.00518784,-1.17549e-38,0.0194134,0.00497899,-1.17549e-38
1458.4031,0.00650609,0.00874605,0.00625371,0.000766209,0.0105013,-1.17549e-38,0.00386806,0.00158315,0.00735675,-1.17549e-38,0.0186043,0.0047935,-1.17549e-38
1458.8853,0.00748805,0.00975329,0.00210818,0.00537143,0.00493746,0.00110243,0.00270399,0.00270297,0.00664776,-1.17549e-38,0.0162366,0.00491963,0.00010644
1459.3673,0.00915549,0.00979794,-1.17549e-38,0.00975218,0.00101588,0.00444155,0.0022293,0.00457978,0.00418307,-1.17549e-38,0.0128929,0.00537197,0.00146367
1459.8495,0.0112989,0.00925792,-1.17549e-38,0.0131093,-1.17549e-38,0.00661184,0.0024407,0.00694724,0.00144402,-1.17549e-38,0.00892476,0.00603043,0.00157657
1460.3315,0.0133206,0.00828668,-1.17549e-38,0.0150772,-1.17549e-38,0.007691,0.00312796,0.00912882,-1.17549e-38,-1.17549e-38,0.0047206,0.00660113,0.000976599
1460.8137,0.0144737,0.00684094,0.000627838,0.0156416,0.000438029,0.00810116,0.00394444,0.0103934,-1.17549e-38,-1.17549e-38,0.000867177,0.00673561,0.000396648
1461.2958,0.0141727,0.00489619,0.00439699,0.0150363,0.00172207,0.00830643,0.00450369,0.0103891,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.00621952,0.000354525
1461.778,0.0122643,0.0026726,0.00802174,0.0136216,0.00272886,0.00855703,0.00450202,0.00935907,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.00509943,0.000951896
1462.26,0.00911926,0.000694202,0.0107978,0.0117671,0.00357836,0.00883269,0.00381444,0.00793778,0.00123888,-1.17549e-38,-1.17549e-38,0.00364483,0.0019829
1462.7422,0.00552176,-1.17549e-38,0.0125623,0.00978759,0.00479937,0.00899381,0.00250893,0.00666118,0.00277338,5.4578e-05,-1.17549e-38,0.00216938,0.00323296
1463.2242,0.00247673,5.13742e-05,0.013455,0.00796434,0.0069372,0.00898614,0.000787724,0.00555037,0.00461908,0.00332209,0.00112951,0.0008472,0.00471698
1463.7064,0.00101287,0.00202953,0.0135581,0.00661699,0.0100917,0.00892806,-1.17549e-38,0.00406567,0.0066566,0.00540952,0.00287318,-1.17549e-38,0.00667196
1464.1885,0.00184657,0.00484873,0.0127315,0.00611398,0.013517,0.00899375,-1.17549e-38,0.00158239,0.0084672,0.00576656,0.00343149,-1.17549e-38,0.00925582
1464.6707,0.0048035,0.00695501,0.0108662,0.0066697,0.0156727,0.00913871,-1.17549e-38,-1.17549e-38,0.00945088,0.00451968,0.0024971,-1.17549e-38,0.0121205
1465.1527,0.00855353,0.00685773,0.0083814,0.00801299,0.0152178,0.0089676,-1.17549e-38,-1.17549e-38,0.00924807,0.002602,0.000486853,-1.17549e-38,0.0143935
1465.6349,0.011443,0.00439725,0.00624409,0.00939986,0.0122229,0.00805132,-1.17549e-38,-1.17549e-38,0.00801591,0.00112283,-1.17549e-38,-1.17549e-38,0.0153652
1466.1169,0.0126672,0.000798801,0.00532827,0.0100858,0.00803694,0.00635592,-1.17549e-38,-1.17549e-38,0.00616589,0.000566782,-1.17549e-38,0.00192831,0.0150655
1466.5991,0.0124166,-1.17549e-38,0.00592286,0.00968874,0.00415006,0.00425625,-1.17549e-38,0.000281209,0.00400047,0.000732437,-1.17549e-38,0.0054029,0.0140355
1467.0812,0.0112699,-1.17549e-38,0.00774929,0.00820651,0.00148834,0.00225427,-1.17549e-38,0.00350123,0.0017189,0.00116073,-1.17549e-38,0.00828568,0.0127946
1467.5634,0.00970627,-1.17549e-38,0.0101602,0.00595052,0.000340724,0.000711226,0.00254077,0.0049864,-1.17549e-38,0.00146266,-1.17549e-38,0.00923339,0.0115632
1468.0454,0.00795483,-1.17549e-38,0.0123545,0.00350977,0.000475901,-1.17549e-38,0.00485552,0.00388305,-1.17549e-38,0.00143588,0.000307724,0.00738604,0.0102845
1468.5276,0.00607185,0.00228854,0.0136717,0.00161868,0.00132857,-1.17549e-38,0.00613838,0.000449389,-1.17549e-38,0.00105924,0.00383493,0.00302346,0.00883502
1469.0096,0.00413014,0.00600697,0.0138847,0.000861868,0.00232438,-1.17549e-38,0.00595598,-1.17549e-38,-1.17549e-38,0.000413323,0.00760293,-1.17549e-38,0.00726172
1469.4918,0.00238286,0.00898421,0.0132339,0.00139917,0.00321351,-1.17549e-38,0.0043555,-1.17549e-38,0.0027286,-1.17549e-38,0.0109103,-1.17549e-38,0.00583512
1469.9739,0.00129681,0.0106522,0.0121487,0.00291815,0.00415458,-1.17549e-38,0.00172929,-1.17549e-38,0.00581304,-1.17549e-38,0.0132288,-1.17549e-38,0.00485998
1470.4561,0.00147263,0.01073,0.0109063,0.00475452,0.00550367,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.00825045,-1.17549e-38,0.0142949,-1.17549e-38,0.00440266
1470.9381,0.00349538,0.00907778,0.00946691,0.00600458,0.00746035,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.00922255,-1.17549e-38,0.0140797,-1.17549e-38,0.00410095
1471.4203,0.00763736,0.00577262,0.00757583,0.00565931,0.00969796,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.00828042,-1.17549e-38,0.0127899,0.00568483,0.00316653
1471.9023,0.0133079,0.00153695,0.00517656,0.00306781,0.011177,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.00567633,-1.17549e-38,0.0109354,0.0117011,0.000786911
1472.3845,0.0186695,-1.17549e-38,0.00292441,-1.17549e-38,0.0106506,0.000307446,-1.17549e-38,-1.17549e-38,0.00259202,-1.17549e-38,0.00923338,0.0146881,-1.17549e-38
