Wavenumber (cm-1),Int deg0 (arb),Int deg2 (arb),Int deg4 (arb),Int deg6 (arb),Int deg8 (arb),Int deg10 (arb),Int deg12 (arb),Int deg14 (arb),Int deg16 (arb),Int deg18 (arb),Int deg20 (arb),Int deg22 (arb),Int deg24 (arb),Int deg26 (arb)
512.4901,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.00253264,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.039681,-1.17549e-38,-1.17549e-38,0.113768
512.9722,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.00205581,-1.17549e-38,-1.17549e-38,0.00687933,0.0329912,-1.17549e-38,0.130796
513.4543,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.00508141,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.101225,-1.17549e-38,0.136745
513.9365,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.00631228,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.140578,-1.17549e-38,0.124354
514.4186,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.015513,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.00612612,-1.17549e-38,0.0220477,-1.17549e-38,0.142079,-1.17549e-38,0.0917932
514.9007,-1.17549e-38,-1.17549e-38,0.000575579,0.0420109,-1.17549e-38,0.000660322,-1.17549e-38,0.00497038,-1.17549e-38,0.0475132,-1.17549e-38,0.114385,-1.17549e-38,0.0460496
515.3828,-1.17549e-38,-1.17549e-38,0.0544386,0.055806,-1.17549e-38,0.000665729,0.0197808,0.00307424,-1.17549e-38,0.0643554,0.00139887,0.0777224,-1.17549e-38,0.000945461
515.8649,-1.17549e-38,-1.17549e-38,0.09903,0.0548868,-1.17549e-38,-1.17549e-38,0.0345296,0.000506546,-1.17549e-38,0.069653,-1.17549e-38,0.0522159,0.00133094,-1.17549e-38
516.347,-1.17549e-38,0.00700797,0.132643,0.0412376,-1.17549e-38,-1.17549e-38,0.036444,-1.17549e-38,-1.17549e-38,0.0648827,-1.17549e-38,0.0471385,0.0415,-1.17549e-38
516.8292,0.00167762,0.0395225,0.153241,0.0194164,-1.17549e-38,-1.17549e-38,0.0329242,-1.17549e-38,-1.17549e-38,0.0549024,-1.17549e-38,0.0567414,0.0789113,-1.17549e-38
517.3113,0.0083182,0.045516,0.154068,-1.17549e-38,0.0266922,-1.17549e-38,0.0318318,-1.17549e-38,-1.17549e-38,0.045355,-1.17549e-38,0.0655394,0.0962877,0.0227079
517.7934,0.0104305,0.0285379,0.125404,-1.17549e-38,0.0528284,0.0088895,0.0343838,-1.17549e-38,-1.17549e-38,0.0397655,-1.17549e-38,0.0598444,0.0808213,0.0609205
518.2755,0.0112393,0.00487577,0.0628588,-1.17549e-38,0.0463622,0.0227171,0.0341632,-1.17549e-38,-1.17549e-38,0.0382607,-1.17549e-38,0.0368384,0.0329836,0.0896432
518.7576,0.0158758,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0153174,0.0361826,0.023199,-1.17549e-38,-1.17549e-38,0.038575,0.0279239,0.0050022,-1.17549e-38,0.10207
519.2397,0.026672,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0435825,-1.17549e-38,-1.17549e-38,0.00176884,0.0381709,0.0540831,-1.17549e-38,-1.17549e-38,0.0968671
519.7219,0.0405013,0.0121962,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0413621,-1.17549e-38,0.00248967,0.00755103,0.0358453,0.064756,-1.17549e-38,-1.17549e-38,0.077299
520.204,0.0504497,0.0280012,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0300131,-1.17549e-38,0.00382181,0.004284,0.0319542,0.057299,-1.17549e-38,-1.17549e-38,0.0497698
520.6861,0.0507183,0.0340555,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.013404,-1.17549e-38,0.0038859,-1.17549e-38,0.0274796,0.0354063,-1.17549e-38,-1.17549e-38,0.0216926
