Wavenumber (cm-1),Int deg-28 (arb),Int deg-26 (arb),Int deg-24 (arb),Int deg-22 (arb),Int deg-20 (arb),Int deg-18 (arb),Int deg-16 (arb),Int deg-14 (arb),Int deg-12 (arb),Int deg-10 (arb),Int deg-8 (arb),Int deg-6 (arb),Int deg-4 (arb),Int deg-2 (arb),Int deg0 (arb)
549.131,0.0459351,0.0181767,0.0666947,0.114738,-1.17549e-38,0.0263474,0.0865633,0.056817,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0355904,0.0522963,0.0239809,-1.17549e-38
549.6131,0.0261495,0.036362,0.0407115,0.098904,-1.17549e-38,0.0223256,0.0645964,0.0418264,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0316275,0.0498901,-1.17549e-38,-1.17549e-38
550.0952,0.000469909,0.0508791,0.00716184,0.0740492,-1.17549e-38,0.0108379,0.0211465,0.0242328,-1.17549e-38,0.00903434,-1.17549e-38,0.0236367,0.0337644,-1.17549e-38,-1.17549e-38
550.5773,-1.17549e-38,0.058676,-1.17549e-38,0.0508014,0.0136115,-1.17549e-38,-1.17549e-38,0.0113128,-1.17549e-38,0.0637482,-1.17549e-38,0.00618899,0.01156,-1.17549e-38,-1.17549e-38
551.0594,-1.17549e-38,0.0582318,-1.17549e-38,0.0371543,0.0305121,-1.17549e-38,-1.17549e-38,0.00745387,0.00589168,0.103873,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38
551.5416,-1.17549e-38,0.0501073,-1.17549e-38,0.035293,0.035482,-1.17549e-38,-1.17549e-38,0.0120425,0.0687754,0.126038,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38
552.0237,0.0131695,0.0366907,-1.17549e-38,0.0410536,0.023777,-1.17549e-38,-1.17549e-38,0.020553,0.11485,0.130427,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38
552.5058,0.0450356,0.0213185,-1.17549e-38,0.0465406,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0279647,0.134021,0.120239,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0158994,-1.17549e-38
552.9879,0.0697633,0.00729402,-1.17549e-38,0.0447124,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0319875,0.127583,0.101337,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0380244,-1.17549e-38
553.47,0.0816583,-1.17549e-38,-1.17549e-38,0.0334121,-1.17549e-38,0.0062831,-1.17549e-38,0.0338184,0.104845,0.0810055,0.000994631,-1.17549e-38,-1.17549e-38,0.0494862,-1.17549e-38
553.9521,0.0818179,-1.17549e-38,-1.17549e-38,0.0163922,-1.17549e-38,0.0126612,-1.17549e-38,0.0360369,0.0763427,0.0655245,0.00535451,0.0188861,-1.17549e-38,0.0464546,-1.17549e-38
554.4343,0.0751497,-1.17549e-38,-1.17549e-38,0.000711027,-1.17549e-38,0.0100644,-1.17549e-38,0.0394463,0.0483884,0.0577357,0.00819364,0.0554613,-1.17549e-38,0.0308815,-1.17549e-38
