Wavenumber (cm-1),Int deg-20 (arb),Int deg-18 (arb),Int deg-16 (arb),Int deg-14 (arb),Int deg-12 (arb),Int deg-10 (arb),Int deg-8 (arb),Int deg-6 (arb),Int deg-4 (arb),Int deg-2 (arb),Int deg0 (arb),Int deg2 (arb),Int deg4 (arb),Int deg6 (arb),Int deg8 (arb),Int deg10 (arb),Int deg12 (arb),Int deg14 (arb),Int deg16 (arb),Int deg18 (arb),Int deg20 (arb)
4684.728,1.62839,3.14426,5.23584,7.98241,10.1938,12.7539,15.0169,16.4264,17.6506,18.3653,18.8045,18.3349,17.5019,16.039,14.0644,11.342,8.76212,6.36269,3.72593,2.2281,1.23444
4685.2104,1.65238,3.18391,5.28884,8.05785,10.2736,12.8384,15.0783,16.4608,17.6522,18.3466,18.7819,18.3704,17.5578,16.1092,14.1625,11.4347,8.84569,6.43254,3.78017,2.26024,1.24788
4685.6924,1.67839,3.22442,5.3422,8.13542,10.3528,12.923,15.1405,16.4971,17.651,18.3246,18.7597,18.4026,17.6109,16.1768,14.2625,11.5289,8.93166,6.50153,3.83255,2.29259,1.26342
4686.1748,1.7028,3.26294,5.3959,8.21629,10.4319,13.0051,15.2032,16.5308,17.6473,18.2983,18.7324,18.4281,17.6599,16.2439,14.3641,11.6259,9.02063,6.57129,3.87991,2.32329,1.28191
4686.6567,1.72204,3.29894,5.45062,8.29993,10.5112,13.0832,15.2645,16.5561,17.6407,18.2655,18.6941,18.4447,17.7034,16.3113,14.4657,11.7249,9.11283,6.64247,3.92119,2.35114,1.30264
4687.1387,1.73469,3.33443,5.50744,8.38396,10.5909,13.1578,15.3214,16.5693,17.6306,18.2248,18.6411,18.4524,17.7407,16.3786,14.5657,11.8233,9.20822,6.71552,3.95833,2.37578,1.32334
4687.6211,1.74253,3.37254,5.56711,8.4651,10.6709,13.2305,15.3714,16.5712,17.6158,18.176,18.5739,18.4535,17.7714,16.4454,14.6624,11.9192,9.30679,6.79119,3.99541,2.39757,1.34118
4688.103,1.74967,3.41525,5.62948,8.54074,10.7515,13.3027,15.4131,16.5668,17.5956,18.1203,18.4957,18.4512,17.7962,16.5116,14.7543,12.0127,9.40866,6.8705,4.03658,2.41752,1.35451
4688.585,1.7604,3.46168,5.69354,8.61023,10.8327,13.375,15.447,16.5625,17.5691,18.0594,18.4109,18.4482,17.8165,16.5775,14.8404,12.1056,9.51396,6.9541,4.08416,2.43721,1.36405
4689.0674,1.77706,3.50803,5.75801,8.67509,10.9142,13.446,15.4741,16.5628,17.535,17.994,18.3223,18.4453,17.8344,16.643,14.9198,12.1998,9.62222,7.04156,4.1379,2.45855,1.37286
4689.5493,1.79906,3.5496,5.82213,8.73828,10.995,13.5134,15.4955,16.5677,17.4921,17.9237,18.2303,18.4413,17.8516,16.7064,14.9925,12.2954,9.73175,7.13128,4.19576,2.48348,1.38471
4690.0317,1.82363,3.58356,5.88596,8.80294,11.0732,13.5751,15.5121,16.5729,17.4394,17.8471,18.1331,18.434,17.8684,16.7649,15.0604,12.3905,9.83947,7.22103,4.25537,2.51338,1.40197
4690.5137,1.84757,3.6109,5.95011,8.87145,11.1476,13.6303,15.525,16.5725,17.3776,17.7627,18.0284,18.4219,17.8839,16.8159,15.1266,12.4826,9.94165,7.30888,4.31523,2.54865,1.4241
4690.9956,1.86907,3.63612,6.01491,8.94488,11.2183,13.6802,15.5365,16.562,17.3093,17.6695,17.9149,18.4042,17.8961,16.8581,15.1952,12.5712,10.0356,7.39396,4.37491,2.58856,1.44775
4691.478,1.88849,3.66464,6.07984,9.02302,11.2875,13.7275,15.5492,16.5406,17.2385,17.5674,17.7929,18.3813,17.9028,16.8926,15.2685,12.6579,10.1213,7.47669,4.43449,2.63143,1.46849
